
> reprolab-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3002
- Network:       http://10.241.76.211:3002
✓ Ready in 637ms

 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 13ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 10ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 23ms (next.js: 10ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 19ms (next.js: 9ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 10ms (next.js: 3ms, proxy.ts: 2ms, application-code: 5ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 9ms, proxy.ts: 2ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 20ms (next.js: 9ms, proxy.ts: 2ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 18ms (next.js: 9ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/events?projectId=prj_09047604e591d969 200 in 72s (next.js: 12ms, proxy.ts: 14ms, application-code: 72s)
 GET /lab?projectId=prj_09047604e591d969 200 in 86ms (next.js: 3ms, application-code: 84ms)
